entrez	new
1	154790
2	10417
9	642517
10	81562
12	57609
13	56970
14	3638
15	399968
16	51619
18	7539
19	79133
20	7596
21	863
22	5691
23	222166
24	7551
25	761
26	51021
27	23101
28	873
29	85359
30	6476
31	23468
32	84231
33	9553
34	66005
35	64324
36	6605
37	114823
38	56731
39	9997
40	390038
41	56992
43	6749
47	2483
48	6602
49	338675
50	6340
51	219870
52	7975
53	222236
54	153201
55	5923
56	128239
58	29951
59	4824
60	7837
70	9956
71	84871
72	56606
81	7326
86	378
87	346689
88	23086
89	317781
90	55180
91	55888
92	101060233
93	51056
94	102724560
95	81470
97	9370
98	57604
100	84893
101	9130
102	26140
103	374308
104	57332
105	23017
107	1525
108	90993
109	53919
111	22800
112	619207
113	5288
114	5347
115	3572
116	9354
117	51343
118	26167
119	9886
120	54948
123	79663
124	55214
125	337968
126	220992
127	4481
128	5469
130	5709
131	126541
132	23532
133	6209
134	3614
135	57706
136	1121
140	8292
141	56241
142	9488
143	55737
146	79751
147	54904
148	7109
150	283659
151	199221
152	462
153	5595
154	79980
155	81282
156	79144
157	55680
158	147372
159	57408
160	80119
161	4062
162	4204
163	80135
164	488
165	3913
166	9975
167	7922
173	548645
174	51495
175	4991
176	6202
177	4582
178	56947
181	2954
182	283848
183	1024
185	1268
186	57616
187	10003
189	3927
190	90480
191	221786
196	3297
197	54929
199	257068
202	89777
203	353288
204	123722
205	26471
207	3337
208	348262
210	2901
211	6799
212	7010
213	171558
214	55328
215	54996
216	2261
217	22820
218	132320
219	79937
220	117154
221	7180
222	100533177
223	64211
224	643847
225	6183
226	11097
229	55321
230	25900
231	92344
238	374900
239	51384
240	5701
241	100507249
242	79174
246	339778
247	4968
248	55722
249	9525
250	79143
251	5654
257	81327
258	22850
259	6976
262	55033
265	8439
266	117194
267	1001
268	286207
269	245973
270	79758
271	55660
272	337970
273	4648
274	57458
275	11036
276	84451
277	116447
278	79870
279	1647
280	55702
283	9936
284	3419
285	5443
286	29796
287	23080
288	1351
290	11250
291	219539
292	4036
293	259173
301	26005
302	4323
304	2634
306	9284
307	219578
308	132946
309	100287178
310	731
311	88
312	11046
313	3040
314	5367
316	445
317	342909
318	161
319	50649
320	51545
321	10411
322	85451
323	4775
324	5027
325	3500
326	55885
327	64089
328	2865
329	776
330	23522
331	347541
332	128822
333	5721
334	10525
335	5995
336	8848
337	7036
338	25926
339	51567
341	407
343	7100
344	170261
345	7138
346	114799
347	80273
348	8241
350	116349
351	285193
353	580
354	3778
355	58508
356	386681
357	120892
358	2882
359	339230
360	9791
361	27092
362	23421
363	54872
364	664618
366	65986
367	25855
368	51513
369	728403
372	131965
373	79898
374	10266
375	27039
377	6923
378	642
379	55112
381	10882
382	4999
383	253152
384	390151
387	387119
388	6300
389	6396
390	726
391	26985
392	4436
393	201254
394	1316
395	3363
396	440073
397	27344
398	344787
399	9114
400	5565
401	374666
402	7638
403	23130
405	1308
406	91662
407	23162
408	256471
409	8879
410	55631
411	401665
412	10592
414	127731
415	10749
416	126205
417	6235
419	9587
420	55145
421	10675
427	57418
429	1513
430	2793
432	8817
433	28227
434	54478
435	5396
438	26013
439	10794
440	23564
443	55582
444	54331
445	5494
460	85414
462	57679
463	56652
466	201158
467	11047
468	92359
471	60314
472	353141
473	2824
474	10423
475	10459
476	2264
477	8644
478	126014
479	3543
480	80274
481	26515
482	221785
483	120146
486	387787
487	55341
488	9426
489	64601
490	8669
491	84920
492	2149
493	6304
495	171568
496	93082
498	627
501	9646
506	29941
509	378708
513	203102
514	729967
515	26520
516	84803
517	5720
518	100463486
521	84417
522	23288
523	147685
525	79083
526	80153
527	432369
528	84327
529	2219
533	23493
534	6810
535	5173
537	387849
538	6259
539	147837
540	83461
545	25803
546	150280
547	51071
549	2975
550	79696
551	91300
552	8290
553	51559
554	10018
558	3430
563	171019
566	220004
567	326624
570	55740
571	84259
572	80332
573	10741
574	23184
575	55530
576	84868
577	64762
578	6506
579	256643
580	5753
581	80823
582	126364
583	391211
585	744
586	6370
587	121952
590	6256
593	84296
594	122042
595	5265
596	29959
597	80196
598	2101
599	4640
602	220202
604	55063
605	3200
607	94009
608	65010
610	55137
611	165631
613	9842
617	219770
622	5201
623	6580
624	388567
627	283897
629	53
631	387893
632	219681
633	338773
634	63036
635	390538
636	1356
637	79088
638	55288
639	55193
640	64769
641	11188
642	10279
643	79583
644	158521
645	54663
646	2834
648	93594
649	149998
650	55024
651	9882
652	6908
653	79746
654	51268
655	9731
656	27032
657	114770
658	115704
659	2940
660	434
661	545
662	80346
663	80303
664	30008
665	6756
666	1950
667	497661
668	11045
669	389812
670	10320
671	64600
672	339175
673	9810
675	9360
676	8767
677	54946
678	169714
680	100862684
682	1519
683	9002
684	3447
685	83591
686	360203
687	4218
688	203245
689	286310
694	147968
695	170082
696	100507055
699	133746
701	51148
705	25917
706	29946
708	54210
710	5479
712	8802
713	2488
714	4953
715	5213
716	553115
717	10476
718	3134
719	53340
720	2874
721	100129669
722	83551
725	5587
726	22916
727	671
728	80319
729	4776
730	1029
731	27197
732	119692
733	1663
734	168537
735	2998
738	200959
740	51052
741	51720
744	8653
745	319101
746	120586
747	340252
750	158234
752	994
753	374454
754	10437
755	7064
757	8878
758	5062
759	3062
760	55636
761	55432
762	26156
763	5555
765	2214
766	51614
767	2592
768	284069
770	205
771	28977
773	64411
774	9015
775	81872
776	23596
777	9732
778	64130
779	5584
780	255252
781	83856
782	122481
783	51352
784	3766
785	388552
786	51728
788	100532726
790	54878
793	1999
794	55568
795	3806
796	375133
797	10367
799	64091
800	34
801	9091
805	10914
808	84220
810	1667
811	29125
813	392391
814	147912
815	399697
816	25920
817	115548
818	403253
819	81889
820	7336
821	7203
822	440786
823	157570
824	54726
825	9340
826	643314
827	3908
828	54933
829	83987
830	83481
831	8785
832	57698
833	4922
834	83877
835	4637
836	58477
837	6327
838	479
839	7356
840	154288
841	84128
842	8905
843	5313
844	138716
845	54757
846	5833
847	643596
856	54468
857	10462
858	140870
859	7707
860	25814
861	64651
862	9697
863	56342
864	9898
865	192134
866	128876
867	1180
868	5915
869	5047
871	83756
873	54834
874	8209
875	8876
881	171484
883	126792
885	27330
886	57594
887	54541
889	285659
890	27111
891	22987
892	144501
894	91646
896	54212
898	84289
899	90826
900	81061
901	246
902	7108
904	56101
905	64147
908	333929
909	55151
910	54474
911	55251
912	4839
913	22869
914	4917
915	5970
916	92597
917	28442
919	51360
920	3449
921	64855
922	283171
923	51666
924	1059
925	4829
926	64285
927	221184
928	1463
929	55297
930	124245
931	401027
932	9450
933	9529
939	8013
940	9023
941	266812
942	113451
943	60482
944	144347
945	6276
946	64840
947	2208
948	79368
949	199834
950	140686
951	26011
952	1382
953	23261
954	6528
955	153218
956	55361
957	575
958	22849
959	92086
960	3672
961	51110
962	388564
963	51764
965	57511
966	284131
967	343263
968	284346
969	400746
970	80742
971	341416
972	4860
973	10215
974	154064
975	135886
976	23566
977	54332
978	284252
983	643707
984	5728
987	4493
988	58155
989	127829
990	4993
991	2161
993	3845
994	148206
995	164592
996	915
997	219527
998	22834
999	283871
1000	347527
1001	54894
1002	284207
1003	8874
1004	100287284
1005	1504
1006	2633
1007	80014
1008	643965
1009	23012
1010	1641
1012	6649
1013	116832
1014	126272
1015	223117
1016	5819
1017	26525
1018	349334
1019	7001
1020	197320
1021	164714
1022	221927
1024	8813
1025	9168
1026	8942
1027	2928
1028	4008
1029	401236
1030	8402
1031	284948
1032	9794
1033	79882
1036	10512
1039	2661
1040	101060226
1041	84294
1043	3860
1044	9989
1045	90316
1046	50807
1047	1520
1048	11062
1050	284119
1051	788
1052	83902
1053	22941
1054	7767
1056	121340
1058	56660
1059	1135
1060	2551
1062	1856
1063	55212
1066	256892
1068	242
1069	1499
1070	6947
1071	100431172
1072	10650
1073	11172
1075	131149
1080	7167
1081	1299
1082	10216
1084	28457
1087	55526
1088	333926
1089	5649
1101	3229
1102	8233
1103	79414
1104	201627
1105	388077
1106	83795
1107	196743
1108	400797
1109	5961
1111	440590
1112	8898
1113	79760
1114	3136
1116	653440
1117	5547
1118	89822
1119	1182
1120	151056
1121	6514
1122	7768
1123	27339
1124	128338
1128	51020
1129	23279
1130	25833
1131	51105
1132	133121
1133	790952
1134	65059
1135	9837
1136	8721
1137	676
1138	55716
1139	64788
1140	7561
1141	29947
1142	23137
1143	83882
1144	127700
1145	342892
1146	83901
1147	200150
1149	645922
1152	22908
1153	84824
1154	219790
1155	28964
1158	161247
1159	57558
1160	55276
1161	166815
1163	6900
1164	4287
1173	337959
1174	254394
1175	125704
1176	55454
1178	79132
1179	3791
1180	128820
1181	84083
1182	51451
1183	6128
1184	5612
1185	5546
1186	84687
1187	56998
1188	6585
1191	5155
1192	9202
1193	84987
1195	93426
1196	6156
1198	26246
1200	26519
1201	9295
1203	2098
1207	388559
1208	9498
1209	9658
1211	9358
1212	3087
1213	9493
1215	401399
1230	374407
1232	138151
1233	6439
1234	203068
1235	29966
1236	652
1237	116984
1238	55571
1240	7022
1241	54438
1244	7274
1258	58538
1259	29907
1260	6671
1261	8573
1262	390231
1263	132954
1264	3273
1265	116461
1266	219793
1267	55313
1268	1176
1269	8495
1270	56034
1271	81930
1272	56920
1277	7153
1278	254359
1280	81248
1281	11147
1282	129025
1284	126433
1285	10599
1286	80210
1287	92104
1288	25807
1289	677790
1290	128312
1291	57414
1292	5305
1293	51805
1294	90141
1295	187
1296	118442
1297	9962
1298	286530
1299	8408
1300	201266
1301	50999
1302	2794
1303	2051
1305	10225
1306	3280
1307	85413
1308	440026
1310	9928
1311	1232
1312	1756
1314	9473
1315	9040
1316	84962
1317	55780
1318	374786
1325	5924
1326	5080
1327	219938
1329	56899
1337	440574
1339	10672
1340	2185
1345	11269
1346	390321
1347	8074
1348	53635
1349	100505879
1350	10013
1351	2045
1352	1750
1353	127602
1355	55869
1356	23302
1357	55206
1358	283514
1359	2814
1360	390271
1361	5045
1362	7058
1363	3892
1364	5731
1365	3304
1366	132204
1368	654817
1369	6640
1370	55856
1371	728113
1373	5023
1374	9920
1375	729873
1376	4250
1378	221908
1379	9528
1380	151871
1381	27332
1382	131578
1384	4622
1385	58480
1386	27244
1387	54813
1388	497189
1389	57827
1390	79966
1392	158
1393	5128
1394	51117
1395	360205
1396	10897
1397	146713
1398	8803
1399	9455
1400	8390
1401	11335
1404	81603
1406	3382
1407	79929
1408	64881
1409	441432
1410	9895
1411	6206
1412	8634
1413	1773
1414	59340
1415	100128818
1417	4810
1418	118460
1419	101060157
1420	161829
1421	3226
1427	646862
1428	338322
1429	11338
1431	10148
1432	84898
1434	120534
1435	4043
1436	9748
1437	165
1438	92312
1439	91404
1440	10656
1441	7555
1444	84217
1445	127707
1446	4486
1447	1084
1448	374403
1452	11012
1453	132332
1454	4676
1455	84894
1456	54729
1457	3538
1459	6132
1460	9633
1462	6540
1463	6497
1464	6560
1465	84984
1466	27069
1468	6425
1469	57716
1470	84698
1471	163081
1472	25930
1473	317705
1474	643812
1475	9310
1476	54514
1477	4126
1478	55689
1479	51289
1482	10963
1485	4716
1486	79048
1487	988
1488	2079
1489	138474
1490	283316
1491	57126
1493	55858
1495	23647
1496	5538
1497	324
1499	2670
1500	55346
1501	55005
1503	10913
1504	147081
1506	79785
1508	219957
1509	2813
1510	51133
1511	6487
1512	51573
1513	116151
1514	10767
1515	2170
1519	6280
1520	9324
1521	23673
1522	7520
1523	11159
1524	1163
1525	1993
1527	84153
1528	7041
1534	387837
1535	51082
1536	23321
1537	27087
1538	102723475
1539	9478
1540	6565
1543	7475
1544	171169
1545	25766
1548	283571
1549	9466
1551	4548
1553	359845
1555	84690
1557	51078
1558	6363
1559	390264
1562	26095
1564	442582
1565	55041
1571	9423
1572	339665
1573	284366
1576	392390
1577	84278
1579	4117
1580	5407
1581	5444
1582	8538
1583	3267
1584	4586
1585	54221
1586	6407
1588	400830
1589	1842
1591	10629
1592	389903
1593	10775
1594	6747
1595	134353
1600	84443
1601	1981
1602	26037
1603	284114
1604	5694
1605	173
1606	641700
1607	537
1608	25896
1609	81928
1610	116540
1611	4089
1612	7421
1613	132430
1615	6598
1616	55379
1617	25778
1618	79066
1620	388125
1621	54923
1622	51313
1627	154150
1628	345757
1629	5281
1630	84253
1632	8646
1633	25953
1634	58
1635	23529
1636	57834
1638	80195
1639	4946
1641	9557
1642	6433
1643	55273
1644	54809
1645	10000
1646	84541
1647	79888
1649	205147
1650	645832
1652	80328
1653	5144
1654	83878
1655	154807
1656	11126
1659	79805
1660	221143
1662	9329
1663	26097
1665	114112
1666	6622
1667	124045
1668	390326
1669	28988
1670	5029
1671	57624
1672	30010
1673	644150
1674	2892
1675	23594
1676	164633
1677	23348
1678	10923
1687	64837
1690	114785
1716	2745
1717	2040
1718	255231
1719	84749
1723	91179
1725	57162
1727	23025
1728	9945
1729	2067
1730	5339
1731	647087
1733	10293
1734	338
1735	154907
1736	389208
1737	10552
1738	65056
1739	174
1740	5015
1741	2671
1742	196074
1743	7174
1745	90379
1746	644943
1747	390167
1748	26227
1749	51274
1750	221687
1755	285877
1756	23645
1757	83604
1758	29843
1759	7799
1760	1829
1761	7299
1762	5314
1763	55109
1767	51747
1768	391112
1769	2041
1770	124989
1773	23609
1774	100130348
1775	145482
1776	3868
1777	283726
1778	57448
1780	7137
1781	6444
1783	2956
1785	9185
1786	26496
1787	643155
1788	23118
1789	116444
1791	23212
1793	2199
1794	63923
1795	10111
1796	728386
1797	79744
1798	10178
1800	441670
1801	54918
1802	55661
1803	645843
1804	3248
1805	3746
1806	7401
1807	27125
1808	348180
1809	3049
1810	7804
1811	23466
1812	124997
1813	23318
1814	10351
1815	49855
1816	4921
1819	80863
1820	28638
1821	79723
1822	55339
1823	8771
1824	9522
1825	3315
1826	4583
1827	5790
1828	157848
1829	64780
1830	55509
1831	7761
1832	84342
1833	388323
1834	750
