entrez	new
1	654254
2	2810
9	116150
10	3248
12	1003
13	4610
14	23546
15	5471
16	64073
18	7515
19	23048
20	8351
21	23608
22	83744
23	64600
24	5494
25	85025
26	4218
27	4760
28	374879
29	58486
30	653121
31	2313
32	79842
33	9242
34	51052
35	1407
36	4160
37	1137
38	353238
39	54462
40	570
41	51241
43	56413
47	116369
48	2532
49	64123
50	10403
51	347487
52	84524
53	10207
54	222223
55	10069
56	10282
58	346525
59	84451
60	3958
70	375307
71	136259
72	442578
81	10125
86	5432
87	64431
88	1379
89	374355
90	1238
91	139818
92	25771
93	10625
94	10954
95	869
97	120146
98	10695
100	3075
101	9001
102	3213
103	54926
104	140576
105	1131
107	3565
108	140609
109	646862
111	80757
112	92703
113	2197
114	1572
115	26953
116	7428
117	7851
118	51079
119	57862
120	56850
123	23519
124	390152
125	55872
126	3888
127	84440
128	4286
130	239
131	5663
132	7145
133	705
134	79885
135	26032
136	6335
140	130
141	6015
142	6546
143	4849
146	645027
147	55321
148	29916
150	342926
151	27102
152	2339
153	3452
154	102724594
155	2259
156	79922
157	8843
158	9132
159	1300
160	81669
161	256227
162	7078
163	27123
164	58494
165	55281
166	6407
167	55003
173	55894
174	4775
175	219873
176	7108
177	274
178	54785
181	53345
182	199800
183	5342
185	57406
186	57486
187	10150
189	4734
190	54407
191	23467
196	28984
197	63924
199	5981
202	3738
203	4745
204	83733
205	29777
207	8723
208	27018
210	10180
211	84128
212	8111
213	3760
214	5260
215	26517
216	730249
217	90529
218	2631
219	81603
220	79682
221	6747
222	401027
223	51755
224	10964
225	4726
226	117
229	4185
230	8339
231	162998
238	9745
239	375287
240	65083
241	6599
242	3836
246	6039
247	57146
248	7761
249	399
250	55750
251	412
257	54904
258	493913
259	55329
262	3382
265	57496
266	26234
267	1187
268	83659
269	60343
270	26025
271	160622
272	23635
273	84176
274	81833
275	54660
276	63943
277	25817
278	114905
279	462
280	4296
283	8131
284	80350
285	6692
286	6299
287	222194
288	23788
290	84557
291	23336
292	4916
293	11156
301	23163
302	11250
304	29763
306	63928
307	4836
308	5547
309	392517
310	51761
311	51526
312	4301
313	84954
314	84232
316	63931
317	55571
318	113829
319	55784
320	4345
321	54768
322	3897
323	151871
324	140
325	79094
326	84675
327	25904
328	9638
329	55247
330	5928
331	55269
332	8711
333	401565
334	26339
335	8125
336	154141
337	5250
338	9619
339	342667
