entrez	new
1	1137
2	3227
9	7297
10	80212
12	337985
13	92749
14	2289
15	23584
16	7762
18	389812
19	3612
20	25989
21	51149
22	51384
23	81282
24	26523
25	7124
26	10817
27	25879
28	4810
29	2954
30	10738
31	10490
32	222234
33	50861
34	140462
35	6895
36	9037
37	54970
38	26020
39	80146
40	4194
41	1543
43	6169
47	6704
48	84448
49	81629
50	404635
51	159963
52	84905
53	283629
54	202309
55	84144
56	3234
58	124093
59	388125
60	9315
70	54856
71	9470
72	79767
81	285550
86	64965
87	26338
88	23384
89	79586
90	3606
91	728568
92	55128
93	84790
94	277
95	7482
97	403244
98	54986
100	114034
101	3501
102	6720
103	91543
104	11266
105	6444
107	6184
108	51244
109	3350
111	7633
112	147991
113	4913
114	319100
115	23254
116	3990
117	2634
118	10381
119	388939
120	340543
123	10666
124	1670
125	1638
126	6496
127	10436
128	2300
130	8174
131	5959
132	5708
133	375743
134	8022
135	100462981
136	347853
140	729756
141	3626
142	4359
143	1436
146	3845
147	94103
148	1641
150	66037
151	4190
152	11082
153	55858
154	11333
155	132200
156	23312
157	27113
158	9914
159	146227
160	2895
161	790969
162	2086
163	81578
164	26985
165	1902
166	246
167	9823
173	4208
174	10243
175	11100
176	10942
177	85445
178	55234
181	57647
182	83452
183	5165
185	23512
186	9185
187	2635
189	54960
190	55210
191	342574
196	27316
197	399664
199	51250
202	441161
203	55907
204	85474
205	442184
207	55272
208	246176
210	2837
211	59082
212	3444
213	9033
214	340267
215	5700
216	113510
217	56169
218	753
219	10993
220	2956
221	56927
222	392197
223	64096
224	131474
225	445577
226	448834
229	129685
230	51281
231	3099
238	219960
239	8938
240	51747
241	7884
242	51599
246	169522
247	51179
248	26689
249	55540
250	694
251	399697
257	56997
258	55501
259	2047
262	124512
265	89953
266	3250
267	319
268	339448
269	390326
270	25759
271	84219
272	353514
273	90362
274	1601
275	54469
276	122258
277	440081
278	23559
279	6136
280	245928
283	1519
284	57082
285	121549
286	10651
287	79814
288	27095
290	10623
291	8218
292	6239
293	65123
301	3283
302	63915
304	829
306	83552
307	92591
308	1559
309	387748
310	5092
311	1777
312	340385
313	5345
314	401265
316	26511
317	196
318	7036
319	8838
320	51616
321	85451
322	4168
323	215
324	84892
325	8993
326	317671
327	83998
328	283537
329	517
330	1280
331	343637
332	286530
333	3320
334	2068
335	11331
336	9052
337	607
338	5645
339	2906
341	9391
343	919
344	145270
345	9891
346	1740
347	138639
348	26037
350	677790
351	3059
353	145946
354	390882
355	6629
356	389207
357	112616
358	80852
359	80347
360	64223
361	283160
362	728047
363	29761
364	7259
366	6392
367	643236
368	79934
369	51059
372	27343
373	2664
374	26499
375	4071
377	56931
378	23295
379	7167
381	9643
382	6299
383	4731
384	55520
387	79075
388	55534
389	90522
390	117285
391	3020
392	347733
393	126003
394	114880
395	220158
396	23258
397	58477
398	948
399	10199
400	987
401	247
402	51614
403	154810
405	653820
406	12
407	5062
408	117196
409	729747
410	771
411	26747
412	81794
414	79365
415	8926
416	91647
417	6373
419	1459
420	4638
421	6595
427	121601
429	28990
430	162989
432	100271927
433	3851
434	527
435	81627
438	400709
439	81469
440	5193
443	373863
444	93611
445	139596
460	79024
462	3105
463	3493
466	403339
467	55802
468	1310
471	129684
472	8079
473	8293
474	54462
475	682
476	990
477	100507436
478	29979
479	9521
480	2979
481	81575
482	6863
483	51016
486	170690
487	54813
488	3050
489	2069
490	51802
491	9745
492	222229
493	79871
495	126006
496	9401
498	2194
501	346547
506	6910
509	23090
513	8642
514	53346
515	22828
516	5105
517	56123
518	1956
521	91419
522	127396
523	727851
525	84223
526	128414
527	10421
528	346673
529	10089
533	360200
534	51134
535	114990
537	55297
538	4013
539	643226
540	9644
545	9587
546	9639
547	84945
549	57115
550	283471
551	8543
552	140862
553	286514
554	81603
558	7414
563	133746
566	92126
567	8742
570	8021
571	11279
572	63904
573	6327
574	101060233
575	442186
576	653583
577	84197
578	79763
579	79659
580	7003
581	116987
582	6716
583	345456
585	155054
586	28755
587	6948
590	3376
593	55135
594	3300
595	5032
596	388553
597	127262
598	51611
599	2018
602	5924
604	285676
605	80256
607	2928
608	126868
610	11161
611	2195
613	1600
617	3646
622	7334
623	135293
624	5979
627	26287
629	642597
631	63925
632	26659
633	2520
634	473
635	1139
636	146712
637	23412
638	2146
639	112
640	84251
641	100133495
642	57215
643	54531
644	50832
645	137362
646	51003
648	6688
649	55033
650	3608
651	54
652	122622
653	170384
654	26173
655	6505
656	8786
657	6742
658	118924
659	5990
660	100507341
661	81621
662	643596
663	503497
664	23450
665	645432
666	10686
667	85013
668	6654
669	6141
670	65057
671	3658
672	126282
673	8342
675	374462
676	10850
677	9114
678	8801
680	57733
682	6698
683	7915
684	646
685	91748
686	29115
687	9435
688	84867
689	10109
694	140469
695	55137
696	30833
699	9209
701	84817
705	51652
706	338675
708	54842
710	55851
712	6524
713	23435
714	4501
715	474343
716	10491
717	8945
718	388698
719	59
720	169611
721	7727
722	140836
725	126308
726	11011
727	284076
728	939
729	26735
730	9308
731	80312
732	7570
733	401667
734	390167
735	219968
738	6883
740	1775
741	23246
744	50649
745	79744
746	8351
747	57054
750	199920
752	3120
753	23259
754	26524
755	2204
757	10859
758	8338
759	50515
760	22914
761	203523
762	1359
763	5217
765	260293
766	6794
767	1558
768	56910
770	95
771	10114
773	100533183
774	4838
775	7274
776	79258
777	168507
778	283209
779	337979
780	90523
781	25850
782	642517
783	10549
784	51024
785	79003
786	1378
788	56899
790	114112
793	441400
794	2784
795	7328
796	100288287
797	116115
799	4105
800	55659
801	26497
805	6658
808	389692
810	2244
811	1052
813	352999
814	185
815	84919
816	79631
817	5395
818	4146
819	8668
820	80270
821	403274
822	9197
823	118813
824	113452
825	83953
826	5322
827	4716
828	171024
829	51548
830	57408
831	148808
832	84455
833	57567
834	54954
835	4157
836	3811
837	4584
838	4675
839	51481
840	9263
841	84695
842	51150
843	221357
844	474344
845	9616
846	9057
847	5702
856	440050
857	89858
858	292
859	79400
860	9266
861	134145
862	84191
863	92714
864	79931
865	51348
866	2781
867	402381
868	3017
869	254773
871	54584
873	28442
874	84988
875	10428
881	146664
883	55788
885	57124
886	56915
887	55861
889	7266
890	25804
891	283110
892	246100
894	8969
896	5532
898	9637
899	643834
900	7728
901	23251
902	79786
904	6578
905	5049
908	55702
909	3705
910	130951
911	29969
912	54708
913	4818
914	956
915	9358
916	64429
917	26063
919	5300
920	4116
921	9851
922	165918
923	149986
924	5885
925	55367
926	1141
927	54512
928	1447
929	9168
930	6453
931	55615
932	401135
933	441282
939	341350
940	148523
941	9562
942	3614
943	284217
944	222256
945	79087
946	3777
947	79188
948	399947
949	250
950	3769
951	51000
952	55929
953	79890
954	51011
955	79676
956	3360
957	337976
958	83755
959	149233
960	199699
961	157753
962	374378
963	388552
965	5630
966	10715
967	2737
968	126017
969	3915
970	161176
971	5104
972	93649
973	3932
974	1036
975	343406
976	10369
977	57097
978	340393
983	2010
984	354
987	10864
988	79465
989	51571
990	126567
991	1800
993	344905
994	3613
995	5900
996	79637
997	5097
998	55127
999	148581
1000	1977
1001	11060
1002	56943
1003	85464
1004	1017
1005	8900
1006	166348
1007	54332
1008	8787
1009	57122
1010	5832
1012	3126
1013	57325
1014	254827
1015	6715
1016	7832
1017	1026
1018	222662
1019	348174
1020	26683
1021	5948
1022	4161
1024	11260
1025	127077
1026	23369
1027	23787
1028	4850
1029	2013
1030	93986
1031	118460
1032	390162
1033	27258
1036	387715
1039	56135
1040	2998
1041	151531
1043	9076
1044	2741
1045	119678
1046	4200
1047	286151
1048	1763
1050	2856
1051	10482
1052	29796
1053	127550
1054	11280
1056	119692
1058	2184
1059	387849
1060	64949
1062	27284
1063	2673
1066	23143
1068	146183
1069	11154
1070	257415
1071	152189
1072	9829
1073	54033
1075	6650
1080	606495
1081	642819
1082	55911
1084	8324
1087	27124
1088	386678
1089	8001
1101	89894
1102	2549
1103	341880
1104	6357
1105	55664
1106	3460
1107	2135
1108	79689
1109	54940
1111	10523
1112	8935
1113	8165
1114	79041
1116	115111
1117	246777
1118	91975
