entrez	new
1	342926
2	164781
9	2153
10	286053
12	389
13	1572
14	6838
15	65258
16	8128
18	81605
19	54777
20	55147
21	89858
22	149998
23	10877
24	131616
25	23770
26	149233
27	55204
28	57544
29	3816
30	27102
31	92806
32	25764
33	619465
34	27068
35	11004
36	7320
37	129530
38	8754
39	1581
40	1287
41	728780
43	116534
47	4149
48	55889
49	2823
50	2648
51	23354
52	84536
53	3048
54	8969
55	138639
56	50861
58	348995
59	5740
60	1069
70	167826
71	100507027
72	3641
81	283078
86	123283
87	5728
88	10307
89	317719
90	80757
91	4801
92	116085
93	1295
94	79544
95	9057
97	8394
98	158747
100	51706
101	23215
102	56946
103	1464
104	55156
105	157869
107	5816
108	29851
109	643866
111	51123
112	6236
113	9904
114	91464
115	29796
116	51377
117	23608
118	125
119	7625
120	83852
123	339287
124	90233
125	201176
126	2845
127	1716
128	10518
130	84444
131	57447
132	3028
133	84978
134	162655
135	4974
136	253725
140	338324
141	51435
142	64777
143	9270
146	316
147	5896
148	5972
150	57120
151	440050
152	1847
153	1582
154	5914
155	112479
156	50940
157	10626
158	7098
159	816
160	7827
161	2869
162	5648
163	645332
164	84144
165	25928
166	100288323
167	1179
173	9988
174	51564
175	79728
176	24139
177	23527
178	10090
181	5631
182	200879
183	10948
185	153201
186	56951
187	255027
189	27181
190	57209
191	375056
196	54993
197	4811
199	81029
202	282890
203	3276
204	339804
205	11035
207	2329
208	100272147
210	10257
211	92935
212	28577
213	415
214	388931
215	4283
216	162699
217	125963
218	51267
219	1499
220	9200
221	200504
222	6725
223	10781
224	126668
225	7180
226	10335
229	92675
230	197358
231	11281
238	54947
239	22849
240	10067
241	134391
242	100507055
246	170463
247	1270
248	388021
249	92335
250	8934
251	55631
257	54734
258	113419
259	337876
262	71
265	10584
266	171023
267	4239
268	491
269	125058
270	55211
271	196513
272	162540
273	64174
274	8048
275	341392
276	730005
277	7840
278	11014
279	5027
280	84276
283	54870
284	4038
285	154907
286	175
287	11021
288	25924
290	10063
291	8900
292	257629
293	2346
301	401036
302	1379
304	107080638
306	3084
307	57626
308	284613
309	375611
310	220388
311	3490
312	6019
313	80070
314	219699
316	137735
317	552
318	4496
319	5649
320	79157
321	91875
322	133418
323	1616
324	57689
325	51655
326	60496
327	54659
328	892
329	10879
330	488
331	58505
332	55954
333	51606
334	85300
335	8658
336	55028
337	100507421
338	6991
339	23164
341	60343
343	10241
344	27106
345	643
346	55114
347	153443
348	55572
350	84329
351	140469
353	9126
354	79948
355	7044
356	6876
357	92912
358	10010
359	474354
360	26266
361	138428
362	9391
363	2108
364	29101
366	55785
367	55599
368	4215
369	10949
372	6253
373	8354
374	4353
375	1497
377	280636
378	8563
379	30836
381	727857
382	129285
383	84514
384	182
387	80835
388	150365
389	55345
390	8540
391	6738
392	4924
393	26609
394	27091
395	646424
396	9915
397	471
398	56915
399	54436
400	64398
401	9453
402	1676
403	64432
405	5443
406	84320
407	56656
408	9031
409	374383
410	84725
411	54165
412	2907
414	53616
415	932
416	84549
417	50628
